2013 Retail Power Marketers Sales- Residential,,,,,,
(Data from form EIA-861 schedule 4B),,,,,,
Entity,State,Ownership,Customers (Count),Sales (Megawatthours),Revenues (Thousands Dollars),Average Price (cents/kWh)
3 Phases Renewables,CA,Power Marketer,109,968,55.7,5.75
"Commerce Energy, Inc.",CA,Power Marketer,"10,013","86,199","7,258.2",8.42
Marin Energy Authority,CA,Power Marketer,"110,563","536,685","38,801.1",7.23
"Ambit Energy Holdings, LLC",CT,Power Marketer,"17,230","176,846","13,366.3",7.56
Consolidated Edison Sol Inc,CT,Power Marketer,"32,850","433,114","33,394.0",7.71
Direct Energy Services,CT,Power Marketer,"74,344","697,249","59,062.8",8.47
Dominion Retail Inc,CT,Power Marketer,"59,855","620,995","51,320.0",8.26
Energy Plus Holdings LLC,CT,Power Marketer,"20,243","214,202","27,643.0",12.91
"Energy Services Providers, Inc",CT,Power Marketer,"4,437","41,044","3,487.8",8.50
Glacial Energy Holdings,CT,Power Marketer,69,"2,272","1,664.3",73.25
"HOP Energy, LLC",CT,Power Marketer,"4,563","40,990","3,563.0",8.69
Independence Energy Group LLC,CT,Power Marketer,"1,021","8,375","1,074.9",12.83
"Integrys Energy Services, Inc.",CT,Power Marketer,283,"4,056",326.6,8.05
Liberty Power Corp.,CT,Power Marketer,"2,958","12,860","1,111.0",8.64
"MxEnergy Electric, Inc.",CT,Power Marketer,"34,182","289,118","26,104.0",9.03
"Palmco Power CT, LLC",CT,Power Marketer,"6,989","37,603","4,969.0",13.21
Public Power LLC (CT),CT,Power Marketer,"97,207","884,521","90,735.0",10.26
"Spark Energy, LP",CT,Power Marketer,"12,002","151,791","14,581.8",9.61
Viridian Energy LLC,CT,Power Marketer,"20,934","205,286","21,743.5",10.59
"XOOM Energy Connecticut, LLC",CT,Power Marketer,"6,693","57,007","5,100.4",8.95
"Ambit Energy Holdings, LLC",DC,Power Marketer,195,443,37.1,8.37
American Power Partners LLC,DC,Power Marketer,133,118,10.5,8.90
"Constellation NewEnergy, Inc",DC,Power Marketer,"4,254","39,514","3,596.0",9.10
"NextEra Energy Services, LLC",DC,Power Marketer,404,"6,997",617.4,8.82
